"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"154",115,222,31673,222,98190021,"Shrub Cover = 22%",207,155,109,0.811765,0.607843,0.427451,7044,0
"155",116,223,33494,223,84378400,"Shrub Cover = 23%",207,154,107,0.811765,0.603922,0.419608,7449,0
"156",117,224,37951,224,44062559,"Shrub Cover = 24%",207,152,107,0.811765,0.596078,0.419608,8440,0
"157",118,225,50862,225,94208465,"Shrub Cover = 25%",207,151,105,0.811765,0.592157,0.411765,11311,0
"158",119,226,51131,226,109086572,"Shrub Cover = 26%",204,147,104,0.8,0.576471,0.407843,11371,0
"159",120,227,59932,227,62293577,"Shrub Cover = 27%",204,146,102,0.8,0.572549,0.4,13329,0
"160",121,228,70584,228,144047060,"Shrub Cover = 28%",204,145,102,0.8,0.568627,0.4,15698,0
"161",122,229,83072,229,114590931,"Shrub Cover = 29%",204,142,100,0.8,0.556863,0.392157,18475,0
"162",123,230,95141,230,63231995,"Shrub Cover = 30%",204,142,100,0.8,0.556863,0.392157,21159,0
"163",124,231,108533,231,96799671,"Shrub Cover = 31%",201,137,97,0.788235,0.537255,0.380392,24137,0
"164",125,232,120682,232,77548748,"Shrub Cover = 32%",201,137,97,0.788235,0.537255,0.380392,26839,0
"165",126,233,133202,233,42556307,"Shrub Cover = 33%",201,134,95,0.788235,0.52549,0.372549,29623,0
"166",127,234,144178,234,63752727,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,32064,0
"167",129,236,161279,236,55379015,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,35868,0
"168",130,237,162128,237,13904469,"Shrub Cover = 37%",199,127,91,0.780392,0.498039,0.356863,36056,0
"169",131,238,157467,238,25132650,"Shrub Cover = 38%",199,126,90,0.780392,0.494118,0.352941,35020,0
"170",132,239,147170,239,20502197,"Shrub Cover = 39%",199,126,90,0.780392,0.494118,0.352941,32730,0
"171",133,240,131346,240,19922659,"Shrub Cover = 40%",199,123,88,0.780392,0.482353,0.345098,29211,0
"172",134,241,112491,241,10269941,"Shrub Cover = 41%",196,121,86,0.768627,0.47451,0.337255,25017,0
"173",135,242,91354,242,25426252,"Shrub Cover = 42%",196,118,84,0.768627,0.462745,0.329412,20317,0
"174",136,243,71349,243,5273551,"Shrub Cover = 43%",196,118,84,0.768627,0.462745,0.329412,15868,0
"175",137,244,53735,244,16732792,"Shrub Cover = 44%",196,115,82,0.768627,0.45098,0.321569,11950,0
"176",139,246,32901,246,14507437,"Shrub Cover = 46%",194,110,79,0.760784,0.431373,0.309804,7317,0
"177",140,247,27206,247,4573545,"Shrub Cover = 47%",194,110,79,0.760784,0.431373,0.309804,6050,0
"178",141,248,23989,248,2461786,"Shrub Cover = 48%",194,110,79,0.760784,0.431373,0.309804,5335,0
"179",142,249,20515,249,5474490,"Shrub Cover = 49%",194,107,78,0.760784,0.419608,0.305882,4562,0
"180",143,250,19202,250,3063665,"Shrub Cover = 50%",191,105,77,0.74902,0.411765,0.301961,4270,0
"181",144,251,16064,251,4272681,"Shrub Cover = 51%",191,102,75,0.74902,0.4,0.294118,3573,0
"182",145,252,15487,252,3051020,"Shrub Cover = 52%",191,102,75,0.74902,0.4,0.294118,3444,0
"183",146,253,12260,253,1022387,"Shrub Cover = 53%",191,100,73,0.74902,0.392157,0.286275,2727,0
"184",147,254,10912,254,3398299,"Shrub Cover = 54%",189,97,72,0.741176,0.380392,0.282353,2427,0
"185",148,255,38982,255,4164670,"Shrub Cover = 55%",189,96,70,0.741176,0.376471,0.27451,8669,0
"186",149,256,7427,256,2123894,"Shrub Cover = 56%",189,94,70,0.741176,0.368627,0.27451,1652,0
"187",150,257,7461,257,643048,"Shrub Cover = 57%",189,94,70,0.741176,0.368627,0.27451,1659,0
"188",151,258,4330,258,1932115,"Shrub Cover = 58%",189,92,68,0.741176,0.360784,0.266667,963,0
"189",152,259,7307,259,1055039,"Shrub Cover = 59%",186,89,67,0.729412,0.34902,0.262745,1625,0
"190",153,260,2391,260,706096,"Shrub Cover = 60%",186,87,65,0.729412,0.341176,0.254902,532,0
"191",154,261,306,261,753077,"Shrub Cover = 61%",186,85,65,0.729412,0.333333,0.254902,68,0
"192",155,262,4,262,502390,"Shrub Cover = 62%",186,84,63,0.729412,0.329412,0.247059,1,0
"193",156,263,4,263,194301,"Shrub Cover = 63%",184,83,62,0.721569,0.32549,0.243137,1,0
"194",157,264,5,264,177779,"Shrub Cover = 64%",184,81,62,0.721569,0.317647,0.243137,1,0
"195",158,265,2537,265,522749,"Shrub Cover = 65%",184,79,61,0.721569,0.309804,0.239216,564,0
"196",159,266,1,266,192505,"Shrub Cover = 66%",181,76,60,0.709804,0.298039,0.235294,0,0
"197",160,275,427,275,154649,"Shrub Cover = 75%",176,61,51,0.690196,0.239216,0.2,95,0
"198",161,310,32075,310,4929207,"Herb Cover = 10%",255,204,102,1,0.8,0.4,7133,0
"199",162,311,3259,311,1097137,"Herb Cover = 11%",255,204,102,1,0.8,0.4,725,0
"200",163,312,5801,312,1425769,"Herb Cover = 12%",255,201,102,1,0.788235,0.4,1290,0
"201",164,313,4936,313,1605474,"Herb Cover = 13%",255,201,102,1,0.788235,0.4,1098,0
"202",165,314,9295,314,2092395,"Herb Cover = 14%",255,201,99,1,0.788235,0.388235,2067,0
"203",166,315,11009,315,1615771,"Herb Cover = 15%",255,198,99,1,0.776471,0.388235,2448,0
"204",167,316,14863,316,2501834,"Herb Cover = 16%",255,197,97,1,0.772549,0.380392,3305,0
"205",168,317,12481,317,2603161,"Herb Cover = 17%",255,197,97,1,0.772549,0.380392,2776,0
"206",169,318,21011,318,3108854,"Herb Cover = 18%",255,193,94,1,0.756863,0.368627,4673,0
"207",170,319,18792,319,3292426,"Herb Cover = 19%",255,193,94,1,0.756863,0.368627,4179,0
"208",171,320,32851,320,4374475,"Herb Cover = 20%",255,192,92,1,0.752941,0.360784,7306,0
"209",172,321,27257,321,2491584,"Herb Cover = 21%",255,190,92,1,0.745098,0.360784,6062,0
"210",173,322,47100,322,5390728,"Herb Cover = 22%",255,190,92,1,0.745098,0.360784,10475,0
"211",174,323,40929,323,5885321,"Herb Cover = 23%",255,189,89,1,0.741176,0.34902,9102,0
"212",175,324,57484,324,6222515,"Herb Cover = 24%",255,186,89,1,0.729412,0.34902,12784,0
"213",176,325,61342,325,19672273,"Herb Cover = 25%",255,185,87,1,0.72549,0.341176,13642,0
"214",177,326,82686,326,9794595,"Herb Cover = 26%",255,185,87,1,0.72549,0.341176,18389,0
"215",178,327,84391,327,4107617,"Herb Cover = 27%",255,181,84,1,0.709804,0.329412,18768,0
"216",179,328,113644,328,11995319,"Herb Cover = 28%",255,181,84,1,0.709804,0.329412,25274,0
"217",180,329,119695,329,16696258,"Herb Cover = 29%",255,180,82,1,0.705882,0.321569,26620,0
"218",181,330,142293,330,21420511,"Herb Cover = 30%",255,177,82,1,0.694118,0.321569,31645,0
"219",182,331,158057,331,26519145,"Herb Cover = 31%",255,176,79,1,0.690196,0.309804,35151,0
"220",218,367,155121,367,20716645,"Herb Cover = 67%",255,118,38,1,0.462745,0.14902,34498,0
"221",220,369,96025,369,13925292,"Herb Cover = 69%",255,112,36,1,0.439216,0.141176,21355,0
"222",221,370,81453,370,22737504,"Herb Cover = 70%",255,112,36,1,0.439216,0.141176,18115,0
"223",222,371,58981,371,21027218,"Herb Cover = 71%",255,107,33,1,0.419608,0.129412,13117,0
"224",223,372,43860,372,18510206,"Herb Cover = 72%",255,107,33,1,0.419608,0.129412,9754,0
"225",224,373,36590,373,12186051,"Herb Cover = 73%",255,105,31,1,0.411765,0.121569,8137,0
"226",225,374,30472,374,15868706,"Herb Cover = 74%",255,102,31,1,0.4,0.121569,6777,0
"227",226,375,38114,375,8267407,"Herb Cover = 75%",255,100,28,1,0.392157,0.109804,8476,0
"228",227,376,17246,376,13129414,"Herb Cover = 76%",255,100,28,1,0.392157,0.109804,3835,0
"229",228,377,13809,377,7933428,"Herb Cover = 77%",255,100,28,1,0.392157,0.109804,3071,0
"230",229,378,13414,378,11032212,"Herb Cover = 78%",255,94,25,1,0.368627,0.098039,2983,0
"231",230,379,10051,379,10456203,"Herb Cover = 79%",255,94,25,1,0.368627,0.098039,2235,0
"232",231,380,7647,380,7036223,"Herb Cover = 80%",255,93,23,1,0.364706,0.090196,1701,0
"233",232,381,6154,381,3284390,"Herb Cover = 81%",255,89,23,1,0.34902,0.090196,1369,0
"234",233,382,14902,382,5806532,"Herb Cover = 82%",255,87,20,1,0.341176,0.078431,3314,0
"235",234,383,1605,383,2627476,"Herb Cover = 83%",255,87,20,1,0.341176,0.078431,357,0
"236",235,384,5631,384,4788547,"Herb Cover = 84%",255,81,18,1,0.317647,0.070588,1252,0
"237",236,385,28,385,3587474,"Herb Cover = 85%",255,81,18,1,0.317647,0.070588,6,0
"238",237,386,23,386,2257218,"Herb Cover = 86%",255,79,15,1,0.309804,0.058824,5,0
"239",238,387,17,387,53138,"Herb Cover = 87%",255,75,15,1,0.294118,0.058824,4,0
"240",239,388,16,388,1915316,"Herb Cover = 88%",255,75,15,1,0.294118,0.058824,4,0
"241",240,389,10,389,1325027,"Herb Cover = 89%",255,73,13,1,0.286275,0.05098,2,0
"242",241,390,12,390,1214787,"Herb Cover = 90%",255,69,13,1,0.270588,0.05098,3,0
"243",242,391,16,391,1026824,"Herb Cover = 91%",255,67,10,1,0.262745,0.039216,4,0
"244",243,392,2,392,889557,"Herb Cover = 92%",255,67,10,1,0.262745,0.039216,0,0
"245",244,393,2,393,8944,"Herb Cover = 93%",255,61,8,1,0.239216,0.031373,0,0
"246",245,394,1,394,167002,"Herb Cover = 94%",255,61,8,1,0.239216,0.031373,0,0
"247",246,395,8577,395,340892,"Herb Cover = 95%",255,59,5,1,0.231373,0.019608,1907,0
