OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1874,1874,135.000000000000000,1596,7412,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
1875,1875,23.000000000000000,1590,7906,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed
1876,1876,10.000000000000000,2724,7412,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
1877,1877,1.000000000000000,1606,7296,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-Low Intensity,Developed-Low Intensity
1878,1878,1.000000000000000,1597,7314,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,North-Central Interior Maple-Basswood Forest,Hardwood
1879,1879,1.000000000000000,1605,7466,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Great Lakes Wooded Dune and Swale,Riparian
1880,1880,74.000000000000000,1602,7466,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Great Lakes Wooded Dune and Swale,Riparian
1881,1881,12.000000000000000,1610,7466,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Great Lakes Wooded Dune and Swale,Riparian
1882,1882,4.000000000000000,1608,7466,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Great Lakes Wooded Dune and Swale,Riparian
1883,1883,4.000000000000000,1596,9203,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Northern Great Lakes Interdunal Wetland,Riparian
1884,1884,4.000000000000000,1590,7928,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Shrubland,Developed
